code,name,district,region,percentage_pass,national_rank,candidates_last,number_pass_last,percentage_pass_last,national_rank_last,school_type,ownership,ward,number_enrolled,number_teaching_staff,number_non_teaching_staff_by_school,number_non_teaching_staff_by_govt,candidates,number_pass,percentage_pass_change,longitude,latitude,Location
PS0101-001,Bangata Primary School,Arusha,Arusha,29.09090909,11728,80,2,2.5,12839,primary,government,Bangata,394,16,,,55,16,26.59090909,36.7439995392,-3.3384210188,"(-3.3384210188, 36.7439995392)"
PS0101-003,Bwawani Primary School,Arusha,Arusha,11.11111111,13835,40,4,10,11871,primary,government,Bwawani,311,8,,,36,4,1.111111111,36.8447831409,-3.6078946514,"(-3.6078946514, 36.8447831409)"
PS0101-005,Ekenywa Primary School,Arusha,Arusha,53.33333333,7169,63,8,12.6984127,9105,primary,government,Olturumet,474,16,,,60,32,40.63492063,36.6202286526,-3.2957160871,"(-3.2957160871, 36.6202286526)"
PS0101-006,Emaoi Primary School,Arusha,Arusha,59.61538462,5106,80,46,57.5,2369,primary,government,Olmotonyi,508,29,,,104,62,2.115384615,36.6489692751,-3.308792324,"(-3.308792324, 36.6489692751)"
PS0101-007,Endonyoesoiye Primary School,Arusha,Arusha,21.62162162,12171,133,11,8.270676692,10237,primary,,,,,,,74,16,13.35094493,36.6571301415,-3.3341402365,"(-3.3341402365, 36.6571301415)"
PS0101-008,Engalaoni Primary School,Arusha,Arusha,30.50847458,10646,84,12,14.28571429,12459,primary,government,Mwandeti,903,10,,,59,18,16.22276029,,,
PS0101-009,Engorika Primary School,Arusha,Arusha,32.09876543,9305,93,14,15.05376344,7847,primary,government,Olkokola,646,11,,,81,26,17.04500199,36.643426357,-3.2406313559,"(-3.2406313559, 36.643426357)"
PS0101-010,Engutukoiti Primary School,Arusha,Arusha,45.45454545,8679,28,1,3.571428571,14604,primary,,,,,,,11,5,41.88311688,,,
PS0101-011,Enyuata Primary School,Arusha,Arusha,76.57657658,2972,93,51,54.83870968,2428,primary,government,Kiranyi,866,28,,,111,85,21.7378669,,,
PS0101-012,Green Acres Primary School,Arusha,Arusha,100,99,74,73,98.64864865,74,primary,non-government,Sokon Ii,651,39,32,,82,82,1.351351351,36.7082431953,-3.3624380031,"(-3.3624380031, 36.7082431953)"
PS0101-013,Ilboru Primary School,Arusha,Arusha,88.32116788,2261,150,118,78.66666667,1207,primary,government,Moivo,1172,38,,,137,121,9.654501217,36.6856560687,-3.3475685556,"(-3.3475685556, 36.6856560687)"
PS0101-014,Ilkerini Primary School,Arusha,Arusha,83.67346939,3266,74,4,5.405405405,9588,primary,,,,,,,49,41,78.26806398,36.5263370738,-3.3570029006,"(-3.3570029006, 36.5263370738)"
PS0101-015,Ilkiding'a Primary School,Arusha,Arusha,65.26315789,4555,143,25,17.48251748,7500,primary,government,Ilkiding'a,1206,32,,,95,62,47.78064041,36.6851488538,-3.3182789756,"(-3.3182789756, 36.6851488538)"
PS0101-016,Ilkisongo Primary School,Arusha,Arusha,18.36734694,13267,55,2,3.636363636,,primary,government,Ilkiding'a,519,12,,,49,9,14.7309833,,,
PS0101-017,Ilkiurei Primary School,Arusha,Arusha,57.06521739,6438,156,38,24.35897436,6534,primary,government,Kiranyi,1024,41,,,184,105,32.70624303,36.6741259624,-3.3547637606,"(-3.3547637606, 36.6741259624)"
PS0101-018,Ilkuroti Primary School,Arusha,Arusha,28,10642,98,17,17.34693878,,primary,,,,,,,100,28,10.65306122,36.6266541282,-3.2133115364,"(-3.2133115364, 36.6266541282)"
PS0101-019,Imbibia Primary School,Arusha,Arusha,23.14814815,13347,96,9,9.375,12067,primary,government,Mwandeti,489,12,,,108,25,13.77314815,36.5651309,-3.2672365301,"(-3.2672365301, 36.5651309)"
PS0101-020,Jk Nyerere Primary School,Arusha,Arusha,53.125,6329,83,16,19.27710843,,primary,,,,,,,64,34,33.84789157,36.651497808,-3.3425062898,"(-3.3425062898, 36.651497808)"
PS0101-022,Kambi Ya Maziwa Primary School,Arusha,Arusha,84.61538462,2631,143,61,42.65734266,3642,primary,,,,,,,143,121,41.95804196,,,
PS0101-023,Kigongoni Primary School,Arusha,Arusha,31.42857143,11258,47,4,8.510638298,10829,primary,government,Bwawani,264,8,,,35,11,22.91793313,36.7796916859,-3.5369710653,"(-3.5369710653, 36.7796916859)"
PS0101-024,Kilimanjaro Primary School,Arusha,Arusha,100,273,77,77,100,132,primary,non-government,Olorien,517,27,38,,86,86,0,,,
PS0101-025,Kimnyaki Primary School,Arusha,Arusha,30,11932,140,20,14.28571429,,primary,,,,,,,120,36,15.71428571,36.6601239272,-3.311792792,"(-3.311792792, 36.6601239272)"
PS0101-026,Kioga Primary School,Arusha,Arusha,31.64556962,10265,150,5,3.333333333,12450,primary,government,Ilkiding'a,1074,26,,,79,25,28.31223629,36.6950003943,-3.3171359568,"(-3.3171359568, 36.6950003943)"
PS0101-027,Kiranyi Primary School,Arusha,Arusha,67.39130435,4535,85,33,38.82352941,3885,primary,government,Kiranyi,757,33,,,92,62,28.56777494,,,
PS0101-028,Kiserian Primary School,Arusha,Arusha,47.36842105,6944,86,28,32.55813953,5563,primary,,,,,,,76,36,14.81028152,36.7401704067,-3.4495494516,"(-3.4495494516, 36.7401704067)"
PS0101-029,Kisongo Primary School,Arusha,Arusha,50.66666667,7422,97,49,50.51546392,2565,primary,government,Kisongo,497,17,,,75,38,0.151202749,36.6951176145,-3.3170096753,"(-3.3170096753, 36.6951176145)"
PS0101-030,Lamoloki Primary School,Arusha,Arusha,12.76595745,13829,60,1,1.666666667,14238,primary,government,Bwawani,454,8,,,47,6,11.09929078,36.8328811049,-3.5801752502,"(-3.5801752502, 36.8328811049)"
PS0101-031,Laroi Primary School,Arusha,Arusha,46.66666667,6131,60,25,41.66666667,3408,primary,government,Mateves,398,13,,,45,21,5,36.6269540573,-3.4955174141,"(-3.4955174141, 36.6269540573)"
PS0101-032,Lemanyata Primary School,Arusha,Arusha,55.85585586,5925,115,45,39.13043478,4024,primary,government,Olkokola,768,13,,,111,62,16.72542107,36.6191257382,-3.2677099869,"(-3.2677099869, 36.6191257382)"
PS0101-033,Leminyor Primary School,Arusha,Arusha,27.39726027,8797,78,16,20.51282051,8896,primary,government,O/sambu,542,13,,,73,20,6.884439761,,,
PS0101-034,Lemugur Primary School,Arusha,Arusha,37.09677419,9616,63,8,12.6984127,10606,primary,government,Mateves,468,11,,,62,23,24.3983615,36.5614049128,-3.4319597623,"(-3.4319597623, 36.5614049128)"
PS0101-035,Lengijave Primary School,Arusha,Arusha,44.89795918,8803,81,17,20.98765432,9005,primary,government,Olkokola,538,9,,,49,22,23.91030486,36.598627726,-5.0300858942,"(-5.0300858942, 36.598627726)"
PS0101-036,Lesiraa Primary School,Arusha,Arusha,70.21276596,2700,60,23,38.33333333,3497,primary,government,Kisongo,367,11,,,47,33,31.87943262,36.5053778063,-3.3973783018,"(-3.3973783018, 36.5053778063)"
PS0101-037,Likamba Primary School,Arusha,Arusha,16.66666667,14002,100,11,11,9119,primary,government,Musa,483,11,,,60,10,5.666666667,36.5723728236,-3.3145546555,"(-3.3145546555, 36.5723728236)"
PS0101-038,Loovilukuny Primary School,Arusha,Arusha,45.90163934,9058,58,7,12.06896552,10141,primary,government,Kisongo,433,15,,,61,28,33.83267383,36.5444659616,-3.4116063222,"(-3.4116063222, 36.5444659616)"
PS0101-039,Loruvani Primary School,Arusha,Arusha,52.20125786,6556,172,32,18.60465116,7491,primary,government,Olturoto,938,36,,,159,83,33.5966067,,,
PS0101-040,Losikito Primary School,Arusha,Arusha,16.10738255,13815,136,7,5.147058824,13685,primary,government,Mwandeti,784,15,,,149,24,10.96032373,36.5779942005,-3.299581936,"(-3.299581936, 36.5779942005)"
PS0101-041,Losinoni Primary School,Arusha,Arusha,27.95698925,12047,95,25,26.31578947,5659,primary,,,,,,,93,26,1.641199774,,,
PS0101-043,Majimoto Primary School,Arusha,Arusha,9.803921569,13783,57,2,3.50877193,12543,primary,government,Nduruma,398,8,,,51,5,6.295149639,36.8527009035,-3.4991548423,"(-3.4991548423, 36.8527009035)"
PS0101-044,Manyire Primary School,Arusha,Arusha,35.41666667,10042,66,2,3.03030303,10209,primary,government,Mlangarini,515,13,,,48,17,32.38636364,36.806272079,-3.4543695823,"(-3.4543695823, 36.806272079)"
PS0101-045,Marurani Primary School,Arusha,Arusha,54.34782609,6007,50,1,2,13048,primary,government,Nduruma,348,8,,,46,25,52.34782609,,,
PS0101-047,Matim Primary School,Arusha,Arusha,51.57894737,6242,95,29,30.52631579,6793,primary,government,Olkokola,735,16,,,95,49,21.05263158,36.6189124509,-3.2666247746,"(-3.2666247746, 36.6189124509)"
PS0101-048,Mbuyuni Primary School,Arusha,Arusha,36.58536585,10011,59,6,10.16949153,12843,primary,government,Oljoro,404,9,,,41,15,26.41587433,36.6558436619,-3.5656004369,"(-3.5656004369, 36.6558436619)"
PS0101-049,Midawe Primary School,Arusha,Arusha,78.68852459,3267,73,4,5.479452055,10212,primary,government,Bangata,530,14,,,61,48,73.20907254,36.7486173116,-3.332989554,"(-3.332989554, 36.7486173116)"
PS0101-050,Mirongoine Primary School,Arusha,Arusha,84.74576271,2341,58,3,5.172413793,14116,primary,government,Oljoro,384,11,,,59,50,79.57334892,36.6060395707,-3.4055342033,"(-3.4055342033, 36.6060395707)"
PS0101-051,Mlangarini Primary School,Arusha,Arusha,25.67567568,11510,67,10,14.92537313,7486,primary,government,Mlangarini,578,17,,,74,19,10.75030254,36.7870003384,-3.4472733324,"(-3.4472733324, 36.7870003384)"
PS0101-052,Moivo Primary School,Arusha,Arusha,62.62626263,4939,122,37,30.32786885,4858,primary,government,Moivo,911,28,,,99,62,32.29839377,36.7039270909,-3.3502512918,"(-3.3502512918, 36.7039270909)"
PS0101-054,Mringa Primary School,Arusha,Arusha,63.41463415,5252,189,52,27.51322751,5538,primary,government,Olorieni,1138,42,,,164,104,35.90140663,36.6398173739,-3.3336105875,"(-3.3336105875, 36.6398173739)"
PS0101-055,Mungushi Primary School,Arusha,Arusha,37.5,9123,79,3,3.797468354,13594,primary,government,Bwawani,613,8,,,48,18,33.70253165,36.834140888,-3.5299853557,"(-3.5299853557, 36.834140888)"
PS0101-057,Musa Primary School,Arusha,Arusha,37.5,9608,60,41,68.33333333,1695,primary,government,Musa,489,8,,,48,18,-30.83333333,36.5218648484,-3.3256729759,"(-3.3256729759, 36.5218648484)"
